dataset,sse,view,reference,candidate,ssim,lpips
bagRotterdam,32,0,bagRotterdam__sse-4__view-0.png,bagRotterdam__sse-32__view-0.png,0.966171576646234,
bagRotterdam,32,1,bagRotterdam__sse-4__view-1.png,bagRotterdam__sse-32__view-1.png,0.9520008437797682,
bagRotterdam,32,2,bagRotterdam__sse-4__view-2.png,bagRotterdam__sse-32__view-2.png,0.963088346375171,
bagRotterdam,32,3,bagRotterdam__sse-4__view-3.png,bagRotterdam__sse-32__view-3.png,0.9819876882553477,
bagRotterdam,32,4,bagRotterdam__sse-4__view-4.png,bagRotterdam__sse-32__view-4.png,0.9701300036379487,
bagRotterdam,32,5,bagRotterdam__sse-4__view-5.png,bagRotterdam__sse-32__view-5.png,0.959264852050134,
bagRotterdam,48,0,bagRotterdam__sse-4__view-0.png,bagRotterdam__sse-48__view-0.png,0.966171576646234,
bagRotterdam,48,1,bagRotterdam__sse-4__view-1.png,bagRotterdam__sse-48__view-1.png,0.9520008437797682,
bagRotterdam,48,2,bagRotterdam__sse-4__view-2.png,bagRotterdam__sse-48__view-2.png,0.963088346375171,
bagRotterdam,48,3,bagRotterdam__sse-4__view-3.png,bagRotterdam__sse-48__view-3.png,0.9819876882553477,
bagRotterdam,48,4,bagRotterdam__sse-4__view-4.png,bagRotterdam__sse-48__view-4.png,0.9701300036379487,
bagRotterdam,48,5,bagRotterdam__sse-4__view-5.png,bagRotterdam__sse-48__view-5.png,0.959264852050134,
bagRotterdam,4,0,bagRotterdam__sse-4__view-0.png,bagRotterdam__sse-4__view-0.png,1.0,
bagRotterdam,4,1,bagRotterdam__sse-4__view-1.png,bagRotterdam__sse-4__view-1.png,1.0,
bagRotterdam,4,2,bagRotterdam__sse-4__view-2.png,bagRotterdam__sse-4__view-2.png,1.0,
bagRotterdam,4,3,bagRotterdam__sse-4__view-3.png,bagRotterdam__sse-4__view-3.png,1.0,
bagRotterdam,4,4,bagRotterdam__sse-4__view-4.png,bagRotterdam__sse-4__view-4.png,1.0,
