runId,method,dataset,scenario,repeat,seed,deviceId,deviceClass,protocolVersion,networkProfile,studyPhase,pilotPurpose,piKp,piKi,valid,invalidReasons,requestPressureWindowCount,pressureSafeHoldCount,pressureTailOverlapCount,pressurePreemptiveOpportunityCount,pressurePreemptiveActionCount,missedPreemptiveOpportunityCount,tailDowngradeUnderPressureCount,validWindowCount,violationWindowCount,violationRate,frameTimeP95Ms,frameTimeP99Ms,timeWeightedMeanSse,requestQueuePeak,requestQueueAuc,switchCount,reversalCount,switchesPerMinute,forecastPairCount,predictionMaeMs,persistenceMaeMs,violationPrecision,violationRecall,violationF1,meanWarningLeadMs,rawFrameTimeP95Ms,rawFrameTimeP99Ms,frameBudgetViolationRate,firstStableDisplayMs,tilesLoadedTotal,tileFailureCount,stateWindowCounts,resourceCount,transferBytes,encodedBodyBytes,loadProgressEventCount,preRunReadinessReady,preRunReadinessWaitMs,preRunReadinessP95Ms,preRunReadinessCheckCount
pc-a-bagAmsterdam-burst-cesiumDynamic-r1-mtgrb95c,cesiumDynamic,bagAmsterdam,burst,1,20260823,pc-a,pc,2.3.3,lan,pilot,request-peak-probe,,,False,window-blur,0,0,0,0,0,0,0,78,60,0.7692307692307693,97.65374999998804,172.68629999999365,16.0,1,500.0,0,0,0.0,77.0,8.42525974025396,8.42525974025396,0.95,0.9661016949152542,0.957983193277311,515.2245614035086,50.09999999997672,83.35400000003399,0.18518518518518517,11315.099999964237,8,0,"{""STABLE"": 78}",9,813058,810358,6.0,True,10100.300000011921,16.79999999998836,5.0
pc-a-bagAmsterdam-burst-cesiumDynamic-r1-mtgrclv8,cesiumDynamic,bagAmsterdam,burst,1,20260823,pc-a,pc,2.3.3,lan,pilot,request-peak-probe,,,True,,0,0,0,0,0,0,0,79,0,0.0,17.0,17.02589999999397,16.0,1,516.5999999999767,0,0,0.0,78.0,0.022948717955202917,0.022948717955202917,,,,,16.800000000046566,17.10000000000058,0.001271186440677966,10499.800000011921,8,0,"{""STABLE"": 79}",9,813058,810358,5.0,True,4032.800000011921,16.79999999998836,2.0
pc-a-bagAmsterdam-burst-cesiumDynamic-r1-mtgsttp0,cesiumDynamic,bagAmsterdam,burst,1,20260823,pc-a,pc,2.3.4,lan,pilot,request-peak-probe,,,True,,0,0,0,0,0,0,0,79,0,0.0,16.901500000022935,16.94999999999214,16.0,1,516.7000000000116,0,0,0.0,78.0,0.0082051282147102,0.0082051282147102,,,,,16.800000000046566,19.750999999977626,0.003369839932603201,10141.5,8,0,"{""STABLE"": 79}",9,813058,810358,6.0,True,4030.900000035763,16.800000000046566,2.0
pc-a-bagAmsterdam-burst-cesiumDynamic-r2-mt8flg0o,cesiumDynamic,bagAmsterdam,burst,2,20260824,pc-a,pc,2.0.0,lan,pilot,legacy,,,True,,0,0,0,0,0,0,0,79,0,0.0,16.900000000023283,16.900000000023283,16.0,0,0.0,0,0,0.0,78.0,0.014230769224918633,0.014230769224918633,,,,,16.800000000046566,16.900000000023283,0.0,1131.2000000014668,7,0,"{""STABLE"": 79}",8,259482,257082,,,,,
pc-a-bagAmsterdam-burst-cesiumDynamic-r2-mtbc9aci,cesiumDynamic,bagAmsterdam,burst,2,20260824,pc-a,pc,2.3.1,lan,pilot,full-pilot,,,True,,0,0,0,0,0,0,0,78,45,0.5769230769230769,62.72474999979834,65.35259999978658,16.0,1,1000.0,0,0,0.0,77.0,3.944480519454516,3.944480519454516,0.9333333333333333,0.9333333333333333,0.9333333333333333,517.0714285714286,35.54999999999859,66.6999999997206,0.12479827864443249,2022.899999997113,9,0,"{""STABLE"": 78}",10,829762,826762,8.0,,,,
pc-a-bagAmsterdam-burst-cesiumDynamic-r2-mtbjqtb2,cesiumDynamic,bagAmsterdam,burst,2,20260824,pc-a,pc,2.3.2,lan,pilot,full-pilot,,,True,,0,0,0,0,0,0,0,78,26,0.3333333333333333,68.0345000000897,87.40179999997414,16.0,0,0.0,0,0,0.0,77.0,1.9358441558593922,1.9358441558593922,0.9615384615384616,1.0,0.9803921568627451,520.6879999999982,33.4000000001397,66.75200000011363,0.063933626159102,10670.40000000596,7,0,"{""STABLE"": 78}",8,259482,257082,3.0,,,,
pc-a-bagAmsterdam-burst-cesiumDynamic-r3-mt8fpu9c,cesiumDynamic,bagAmsterdam,burst,3,20260825,pc-a,pc,2.0.0,lan,pilot,legacy,,,True,,0,0,0,0,0,0,0,80,0,0.0,16.900000000023283,16.900000000023283,16.0,0,0.0,0,0,0.0,79.0,0.023924050613046963,0.023924050613046963,,,,,16.800000000046566,16.900000000023283,0.0,1153.1999999999534,7,0,"{""STABLE"": 80}",8,259482,257082,,,,,
pc-a-bagAmsterdam-burst-cesiumDynamic-r3-mtbcdps0,cesiumDynamic,bagAmsterdam,burst,3,20260825,pc-a,pc,2.3.1,lan,pilot,full-pilot,,,True,,0,0,0,0,0,0,0,79,9,0.11392405063291139,50.307499999904536,66.56999999973922,16.0,1,1000.1000000000931,0,0,0.0,78.0,0.8634615384704932,0.8634615384704932,0.8888888888888888,1.0,0.9411764705882353,522.9249999999884,17.0,49.80599999981932,0.01786492374727669,2070.9999999939464,9,0,"{""STABLE"": 79}",10,829762,826762,8.0,,,,
pc-a-bagAmsterdam-burst-cesiumDynamic-r3-mtbjv80a,cesiumDynamic,bagAmsterdam,burst,3,20260825,pc-a,pc,2.3.2,lan,pilot,full-pilot,,,True,,0,0,0,0,0,0,0,78,0,0.0,16.90075000013865,16.92685000010219,16.0,0,0.0,0,0,0.0,77.0,0.01175324678278906,0.01175324678278906,,,,,16.9000000001397,17.0,0.0,10211.20000000298,7,0,"{""STABLE"": 78}",8,259482,257082,3.0,,,,
pc-a-bagAmsterdam-burst-cesiumDynamic-r4-mt8fwfgx,cesiumDynamic,bagAmsterdam,burst,4,20260826,pc-a,pc,2.0.0,lan,pilot,legacy,,,True,,0,0,0,0,0,0,0,79,0,0.0,16.9000000001397,16.9000000001397,16.0,0,0.0,0,0,0.0,78.0,0.014487179491418182,0.014487179491418182,,,,,16.899999999906868,16.9000000001397,0.0,1145.499999998603,7,0,"{""STABLE"": 79}",8,259482,257082,,,,,
